WARNING: System properties and/or JVM args set.  Consider using --dry-run or --exec
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
25   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr/solr-4.10.2/hdp/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/banana-context.xml
120  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/opt/solr/solr-4.10.2/hdp/webapps/banana.war!/ to /opt/banana/latest/banana-webapp/webapp
313  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /banana, did not find org.apache.jasper.servlet.JspServlet
343  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/solr-jetty-context.xml
1331 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
31750 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
31751 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
31752 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
31752 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
31754 [qtp631383787-13] WARN  org.apache.solr.core.RequestHandlers  – Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
31754 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
31754 [qtp631383787-13] WARN  org.apache.solr.core.RequestHandlers  – Multiple requestHandler registered to the same name: /update/json ignoring: org.apache.solr.handler.UpdateRequestHandler
31754 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.UpdateRequestHandler
31754 [qtp631383787-13] WARN  org.apache.solr.core.RequestHandlers  – Multiple requestHandler registered to the same name: /update/json/docs ignoring: org.apache.solr.handler.UpdateRequestHandler
31754 [qtp631383787-13] INFO  org.apache.solr.core.RequestHandlers  – created /update/json/docs: solr.UpdateRequestHandler
